idsubsls,kecamatan,desa,nama_sls,dominan,keluarga_awal,usaha_awal,keluarga_prelist,umkm_keluarga,st2023,umk,um,usaha_lain,umk_um,usaha_final,total_usaha_final,level_geografis,is_prioritas
2105010011001000,JEMAJA,BATU BERAPIT,RT 010 RW 004 DUSUN 2,1,23,1,19,0,9,0,0,1,0,1,10,sls,TRUE
2105010011001100,JEMAJA,BATU BERAPIT,RT 011 RW 004 DUSUN 2,1,19,4,20,0,15,0,0,4,0,4,19,sls,TRUE
2105010011001200,JEMAJA,BATU BERAPIT,RT 012 RW 004 DUSUN 2,1,13,1,11,0,7,1,0,1,1,1,8,sls,TRUE
2105010011200100,JEMAJA,BATU BERAPIT,HUTAN DARAT,11,0,0,0,0,0,0,0,0,0,0,0,sls,TRUE
2105010011200200,JEMAJA,BATU BERAPIT,HUTAN PULAU,11,0,0,0,0,0,1,0,0,1,1,1,sls,TRUE
2105010012000100,JEMAJA,LANDAK,RT 001 RW 001 DUSUN 1,1,52,6,59,0,20,14,0,6,14,14,34,sls,TRUE
2105010012000200,JEMAJA,LANDAK,RT 002 RW 001 DUSUN 1,1,36,17,41,0,27,6,0,17,6,17,44,sls,TRUE
2105010012000300,JEMAJA,LANDAK,RT 003 RW 002 DUSUN 2,1,42,7,45,0,21,8,0,7,8,8,29,sls,TRUE
2105010012000400,JEMAJA,LANDAK,RT 004 RW 002 DUSUN 2,1,38,9,46,0,11,9,0,9,9,9,20,sls,TRUE
2105010012000500,JEMAJA,LANDAK,RT 005 RW 003 DUSUN 2,1,9,2,7,0,3,0,0,2,0,2,5,sls,TRUE
2105010012000600,JEMAJA,LANDAK,RT 006 RW 003 DUSUN 2,1,15,3,15,0,9,1,0,3,1,3,12,sls,TRUE
2105010012200100,JEMAJA,LANDAK,HUTAN,11,0,0,0,0,0,4,0,0,4,4,4,sls,TRUE
2105011001000100,JEMAJA BARAT,KERAMUT,RT 1 RW 1 DUSUN 1,1,37,2,35,0,10,0,0,2,0,2,12,sls,TRUE
2105011001000200,JEMAJA BARAT,KERAMUT,RT 2 RW 1 DUSUN 1,1,25,3,24,0,8,2,0,3,2,3,11,sls,TRUE
2105011001000300,JEMAJA BARAT,KERAMUT,RT 3 RW 2 DUSUN 2,1,32,1,30,0,11,2,0,1,2,2,13,sls,TRUE
2105011001000400,JEMAJA BARAT,KERAMUT,RT 4 RW 2 DUSUN 2,1,55,2,51,0,26,1,0,2,1,2,28,sls,TRUE
2105011001200100,JEMAJA BARAT,KERAMUT,HUTAN,11,0,0,0,0,0,0,0,0,0,0,0,sls,TRUE
2105011002000100,JEMAJA BARAT,IMPOL,RT 1 RW 1 DUSUN 1,1,43,4,39,0,21,3,0,4,3,4,25,sls,TRUE
2105011002000200,JEMAJA BARAT,IMPOL,RT 2 RW 1 DUSUN 1,1,22,3,23,0,16,1,0,3,1,3,19,sls,TRUE
2105011002000300,JEMAJA BARAT,IMPOL,RT 3 RW 2 DUSUN 2,1,24,6,18,0,11,1,0,6,1,6,17,sls,TRUE
2105011002000400,JEMAJA BARAT,IMPOL,RT 4 RW 2 DUSUN 2,1,32,4,31,0,29,1,0,4,1,4,33,sls,TRUE
2105011002200100,JEMAJA BARAT,IMPOL,HUTAN,11,0,0,0,0,0,1,0,0,1,1,1,sls,TRUE
2105011003000100,JEMAJA BARAT,SUNGGAK,RT 1 RW 1 DUSUN 1,1,22,7,22,0,13,1,0,7,1,7,20,sls,TRUE
2105011003000200,JEMAJA BARAT,SUNGGAK,RT 2 RW 1 DUSUN 1,1,25,2,25,0,17,0,0,2,0,2,19,sls,TRUE
2105011003000300,JEMAJA BARAT,SUNGGAK,RT 3 RW 2 DUSUN 2,1,27,3,25,0,12,1,0,3,1,3,15,sls,TRUE
2105011003000400,JEMAJA BARAT,SUNGGAK,RT 4 RW 2 DUSUN 2,1,30,3,30,0,19,0,0,3,0,3,22,sls,TRUE
2105011003200100,JEMAJA BARAT,SUNGGAK,HUTAN,11,0,0,0,0,0,0,0,0,0,0,0,sls,TRUE
2105020001000100,JEMAJA TIMUR,ULU MARAS,RT 1 RW 1 DUSUN 1,1,28,8,22,0,4,6,0,8,6,8,12,sls,TRUE
2105020001000200,JEMAJA TIMUR,ULU MARAS,RT 2 RW 1 DUSUN 1,1,43,12,40,0,22,4,0,12,4,12,34,sls,TRUE
2105020001000300,JEMAJA TIMUR,ULU MARAS,RT 3 RW 2 DUSUN 1,1,37,11,31,0,8,7,0,11,7,11,19,sls,TRUE
2105020001000400,JEMAJA TIMUR,ULU MARAS,RT 4 RW 2 DUSUN 1,1,37,7,29,0,19,8,0,7,8,8,27,sls,TRUE
2105020001000500,JEMAJA TIMUR,ULU MARAS,RT 5 RW 3 DUSUN 2,1,27,3,27,0,22,2,0,3,2,3,25,sls,TRUE
2105020001000600,JEMAJA TIMUR,ULU MARAS,RT 6 RW 3 DUSUN 2,1,45,8,41,0,23,1,0,8,1,8,31,sls,TRUE
2105020001000700,JEMAJA TIMUR,ULU MARAS,RT 7 RW 4 DUSUN 2,1,36,3,32,0,16,1,0,3,1,3,19,sls,TRUE
2105020001000800,JEMAJA TIMUR,ULU MARAS,RT 8 RW 4 DUSUN 2,1,45,11,39,0,31,4,0,11,4,11,42,sls,TRUE
2105020001200100,JEMAJA TIMUR,ULU MARAS,HUTAN,11,0,0,0,0,0,1,0,0,1,1,1,sls,TRUE
2105020002000100,JEMAJA TIMUR,KUALA MARAS,RT 1 RW 1 DUSUN 1,1,40,6,34,0,12,1,0,6,1,6,18,sls,TRUE
2105020002000200,JEMAJA TIMUR,KUALA MARAS,RT 2 RW 1 DUSUN 1,1,46,5,50,0,21,2,0,5,2,5,26,sls,TRUE
2105020002000300,JEMAJA TIMUR,KUALA MARAS,RT 3 RW 2 DUSUN 2,1,47,7,50,0,14,6,0,7,6,7,21,sls,TRUE
2105020002000400,JEMAJA TIMUR,KUALA MARAS,RT 4 RW 2 DUSUN 2,1,45,7,45,0,13,5,0,7,5,7,20,sls,TRUE
2105020002000500,JEMAJA TIMUR,KUALA MARAS,RT 5 RW 3 DUSUN 3,1,62,9,49,0,22,7,0,9,7,9,31,sls,TRUE
